"filename", "language", "C++", "C", "Markdown", "comment", "blank", "total"
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/README.md", "Markdown", 0, 0, 8, 0, 8, 16
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/bullets.c", "C", 0, 173, 0, 77, 25, 275
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/bullets.h", "C++", 26, 0, 0, 0, 3, 29
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/constants.h", "C++", 89, 0, 0, 11, 18, 118
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/enemies.c", "C", 0, 274, 0, 86, 44, 404
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/enemies.h", "C++", 56, 0, 0, 0, 9, 65
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/game.c", "C", 0, 87, 0, 25, 29, 141
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/game.h", "C++", 18, 0, 0, 1, 5, 24
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/graphics.c", "C", 0, 69, 0, 31, 17, 117
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/graphics.h", "C++", 18, 0, 0, 0, 5, 23
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/init_win.c", "C", 0, 71, 0, 19, 22, 112
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/init_win.h", "C++", 7, 0, 0, 0, 3, 10
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/maps.c", "C", 0, 152, 0, 52, 33, 237
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/maps.h", "C++", 23, 0, 0, 0, 4, 27
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/start_game.c", "C", 0, 7, 0, 0, 1, 8
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/warrior.c", "C", 0, 296, 0, 93, 58, 447
"/home/luispedro/Documents/V-Semester/DSD/Wizard-of-Wor/warrior.h", "C++", 45, 0, 0, 0, 7, 52
"Total", "-", 282, 1129, 8, 395, 291, 2105